entrée	James EN	James FR
Aleore	1	1
Aleos	1	1
Alephantes		1
Ales	1	1
Ales crudum	1	1
Alesch	1	
Aleseh		1
Aleton	1	1
Aleuron	1	1
Alexander	1	1
Alexandri antidotus aurea	1	1
Alexandri regis collyrium siccum	1	1
Alexandria	1	1
Alexandrinum emplastrum viride	1	1
Alexanthi, Altingat	1	1
Alexasthae	1	
Alexasthai		1
Alexicacon	1	1
Alexion	1	1
Alexipharmaca	2	3
Alexippus	1	1
Alexipyreticum, Alexipyretos, Alexipyretum	1	1
Alexir	1	1
Alexiteria	1	1
Alezaram	1	1
Alfacta	1	1
Alfadidam	1	1
Alfasit, Aluasit	1	
Alfasit, Alvasit		1
Alfatida	1	1
Alfatide	1	1
Alfesera, Alphesera	1	1
Alfoi	1	1
Alfusa	1	1
Alga	1	1
Algali	1	1
Algamet	1	1
Algarab, Garab	1	1
Algarot	1	
Algaroth		1
Algatia	1	1
Algedo	2	3
Algema	1	1
Algemet	1	1
Algeriae		1
Algeriae, Algerie	1	
Algeroth	1	1
Algoides	1	1
Algos	1	
Algos, Algema		1
Alhagi	1	1
Alhandal	1	1
Alhanna	1	
Alhanna, Alana terra		1
Alhasef, Asef	1	1
Alica	2	2
Alices	1	1
Alicornu	1	
Alicornu, Unicornu		1
Alienatio mentis	1	1
Alienum	1	1
Aliformes processus	1	1
Aligulus	1	1
Alilat	1	1
Alima	1	1
Alimenta	20	30
Alindesis	1	1
Alinthisar	1	
Alinthisar, Uvulae procidentia		1
Aliocab	1	1
Alipaenos	1	1
Alipasma	1	1
Alipili	1	1
Aliptae	1	1
Alisma	1	1
Alisteles	1	1
Alitura	1	
Alkafial	1	1
Alkahest	1	1
Alkale	1	1
Alkali	1	1
Alkalia	1	1
Alkalid, Alkes, Alcob	1	
Alkalid, Alkes, Alkob		1
Alkanri, Alcanri	1	1
Alkant	1	1
Alkantum	1	1
Alkara, Alcara	1	1
Alkaranum	1	1
Alkasa	1	
Alkasa, Alkazoal, Albot		1
Alkaut	1	
Alkaut, Almarkasita		1
Alkautum	1	1
Alkekengi	1	2
Alkermes	1	
Alki Plumbi	1	
Alki plumbi		1
Alkian	1	1
Alkibric, Alchibric, Alchibert, Algibic, Alkibic, Alchabric	1	1
Alkien	1	1
Alkimia	1	1
Alkin	1	1
Alkir	1	1
Alkitram	1	1
Alkoel	1	1
Alkol	1	1
Alkosor	1	1
Alla		2
Alla, Ale	1	
Allabor, Alahabar, Alabari, Alchonor, Allarinoch, Alhohonoch, Alrachas, Alastrob, Alomba, Alooc, Alcamor	1	1
Allabrot	1	
Allantois	3	5
Allarot		1
Alleluia		1
Alleluja	1	
Alliar aeris	1	1
Alliaria	1	1
Alligatura	1	1
Allioticum	1	1
Allium	2	2
Allium gallicum	1	1
Allobrogicum vinum	1	1
Allochoos	1	1
Allochroeo	1	1
Allocoton	1	1
Allodemia	1	1
Alloeosis	1	1
Allognoon	1	1
Allophasis	1	1
Alma		1
Alma, Halma	1	
Almabri	1	1
Almager	1	1
Almagra	1	1
Almakanda, Almakist, Almariab, Almarchar, Almarcab	1	
Almakanda, Almakist, Almariab, Almarchar, Almarcab, Lythargirium		1
Almarcarida	1	
Almarcarida, Lythargyrium argyritis		1
Almarcat	1	1
Almargen	1	
Almargen, Armalgol, Almarago		1
Almarkasita	1	1
Almartack	1	
Almastack		1
Almatatica	1	1
Almecaside, Almechaside	1	1
Almeliletu	1	1
Almene	1	1
Almetat	1	1
Almisa	1	1
Almisadir, Almisadar, Almizadar, Amizadir, Asanon, Amisadu	1	
Almisadis, Almisadar, Almizadar, Almizadir, Asanon, Amisadu		1
Almisarub	1	1
Almizadir	1	
Almyrinthra	1	1
Alnec	1	
Alnec, Allenec, Alcalap		1
Alnus	3	1
Aloe		4
Aloedaria	1	
Alofel	1	1
Alogos	1	1
Alogotrophia	1	1
Alohar, Alohoc, Alosohoc, Alosot	1	1
Aloides	1	1
Alopeces	1	1
Alopecia	1	3
Alopecuros	1	1
Alopex	1	1
Alosa		1
Alosa five Clupea	1	
Alosanthi	1	
Alosanthy		1
Alpam	1	1
Alphabetum chymicum	1	1
Alphenic	1	1
Alphesera, Alfesera	1	1
Alphita	1	1
Alphitedon	1	1
Alphus	1	1
Alramudi		1
Alramudi cineritious	1	
Alratica	1	1
Alsamach, Alsemach	1	1
Alsech	1	1
Alselat	1	1
Alsinastrum	1	1
Alsine	2	2
Alsineformis	1	1
Alsiracostum	1	1
Altafor	1	1
Altambus	1	1
Altanus	1	1
Altaris, Altarit, Alozet	1	1
Alterantia	3	5
Altercum, Altercangenon	1	1
Altey plumbi, Alki plumbi		1
Altey plumbi, Alky plumbi	1	
Althaea	4	5
Althanaca, Althanacha	1	1
Althebegium	1	1
Althexis	1	1
Altholizoi	1	1
Altiht	1	1
Altimar	1	
Altimar, Ayacapher		1
Altimio	1	1
Altincar	1	1
Altingat	1	1
Altinuraum	1	1
Altolizoi	1	1
Altus	1	1
Alu	1	1
Aluach, Aluech	1	1
Aluco	1	1
Aludel	1	1
Aludit	1	1
Aluech	1	1
Alufir	1	1
Aluis	1	1
Alum, Alus	1	1
Alumboti	1	1
Alumen	8	10
Alunibur	1	1
