688	AMPHIDEXIOS	ἀμφιδε'ξιος, ἀμφαριστορός
689	AMPHIBION	
690	AMPHIMETRION	
691	AMPHIPNEUMA	ἀμφίτηευμα
692	AMPHIPOLOS	ἀαφιπόλος
693	AMPHISBAENA	
694	AMPHISCELOS	ἀμφίσκελος
695	AMPHISMILA	ἀμφισμίλη, ἀμφὶ
696	AMPHISPHALSIS	
697	AMPHITANE	
698	AMPHODONTA	ἀμφοδήνστα
699	AMPHORA	κεράμιον, άαφορεὺς
700	AMPLEXATIO	
701	AMPOTIS	αμπωτις
702	AMPULLA	λήκιθος, πομφόλνξ
703	AMPULLASCENS	
704	AMPUTATIO	καταχρηστιαῶς
705	AMULETA	πιριάμμαστα, περίαπτα
706	AMURCA	άμὸργα
707	AMYCHE	ἀμυχὴ
708	AMYCTICOS	άμυκτικὸς, ἀμνκλικὸς, ἀμύασω
709	AMYDROS	ἀμυδρός
710	AMYGDALAE	
711	AMYGDALATUM	
712	AMYLUM	ἄ'μνλον, ἀμύλιον
713	AMYON	αμνον
714	AMYTHAONIS	μακο
715	AN	
716	ANA	
717	ANABASIS	ἀνάβασις
718	ANABETTO	ἀναβὴτίὶω
719	ANABLEPO	ἀναβλέπω
720	ANABLYO	ἀναβλυ'ω
721	ANABOLE	ἀναβολὴ, ἀναγογῆ
722	ANABROCHISMOS	ἀναβροχισμὸς, ἀναβι, γχισμὸς
723	ANABROSIS	ἀνάβρωσις, Ολάβρωσις
724	ANACAR	ἀνακόιρ, εἰς, τὸ, ἄνω, μέρος, ἐτάκαρ
725	ANACATHARSIS	ἀνακάθαρσις
726	ANACESTOS	ἀνάκεστος
727	ANACHMUS	
728	ANACHREMPSIS	άχρεμψις
729	ANACINEMA	ακίνημα
730	ANACLASIS	ἀνάκλασις
731	ANACLINTERIUM	ἀνακλιντὴριβν, ἀνάκλιντρον
732	ANACLISIS	ἀνάκλισις, άνακλισμὰς
733	ANACOCHE	ακωχὴ, ἀνακώχοισις
734	ANACOLLEMA	ἀνακὸλλ, ημα
735	ANACOMIDE	ἀνακομιδὴ
736	ANACONCHIZO	ἀνακογχίζω, ἀνακωχέω
737	ANACONCHYLISMOS	ἀτακογχυλισμὸς, ἀνακογχλιασμὸς, κογχυλίζειν
738	ANACOS	ἀνακιῦς
739	ANACTESIS	ἀνἀητησις, ἀντίληψις
740	ANACUPHISMA	άνακήφισμα
741	ANACYCAO	ἀνακυκάιν
742	ANACYCLEON	ἀνακυκλέων
743	ANACYPTO	ἀνακὑπτω
744	ANACYRIOSIS	ἀνακυρίωσις
745	ANADIPLOSIS	άταδίστόλωσις
746	ANADOSIS	αδοσις
747	ANADROME	ανα, δρομὴ
748	ANADROMOS	ἀνάδρομος
749	ANAEDES	ἀναιδηά, ἀναιδες
750	ANAENOMAE	ἀιαόνομαι
751	ANASTHESIA	άναισθησία
752	ANAFOLIS	
753	ANAGARGALICTA	ἀναγαργῆλικτα, ἀναγαργάριστον
754	ANAGNOSIS	ἀντέγνωσις
755	ANAGOGE	ἀναγωγῆ
756	ANAGRAPHE	ἀναγραφὴ
757	ANAISSO	ἀναίασσω
758	ANALCES	ἄναλκες, κη
759	ANALDES	ἀναλδὴς
760	ANALENTIA	
761	ANALEPSIA	
762	ANALEPSIS	ἀντίληψις, ἀνακομιδὴ, ἀθρε—
763	ANALGESIA	ἀναλγησία
764	ANALMYRON	άλμυρον
765	ANALOGISMUS	άιαλογεσμὸς
766	ANALOSIS	μείωσις
767	ANALTHES	ἀναλθνς
768	ANALTOS	αλτος
769	ANALYSIS	α’νάλυσις
770	ANAMIX	ἀναμὶξ
771	ANAMNESIS	άνἀμνησις
772	ANANCE	ἀνάγκη, αγκάζω
773	ANANDRIES	ἀνανδριὴς
774	ANAPALIN	ἀνάπαλιν, τῷ, καὶ’, ιξιν
775	ANAPALINDROMEO	ἀναπαλινδρομέω
776	ANAPAUSIS	ἀναπάυσις
777	ANAPETIA	ἀναπετέια
778	ANAPHALANTIASIS	ἀναφαλαυτίασις, φαλακρότης
779	ANAPHONESIS	ἀναφωἔησις
780	ANAPHORA	ἀναφορά
781	ANAPHORYSSO	ἀναφορύασω, φορύω, φορύασσω
782	ANAPHRODISIA	ἀναφροδισία
783	ANAPHRON	ἄναφρον
784	ANAPHYRAO	ἀνκφυράω
785	ANAPINOMAE	άναπίνομαι
786	ANAPLASIS	ἀνάπλασις
787	ANAPLEROSIS	ἀναπλήρωσος
788	ANAPLEUSIS	ἀνάπλενσις
